K       N       AIC     BIC     VB
 3       50      0       7      10
 3      100      6       8       8
 3      200      5       7      10
 3      400      7       8      10
 3      800     10      10      11
 4       50      3       5       4
 4      100      4       9       8
 4      200      6       9       8
 4      400      9       9      10
 4      800      8       8      11
 5       50      0       4       2
 5      100      4       6       2
 5      200      6       8       4
 5      400      7       9       6
 5      800      6       6       7
 6       50      0       3       0
 6      100      6       4       0
 6      200      7       7       4
 6      400      8       9       5
 6      800      6       6       5
 7       50      1       2       0
 7      100      3       3       0
 7      200      4       4       0
 7      400      5       5       1
 7      800      6       6       6
 8       50      0       3       0
 8      100      3       3       0
 8      200      5       5       0
 8      400      9      10       1
 8      800      6       6       5
