N       s       aics    bics    aicacc  bicacc
20      0       0.00    0.00    1.00    1.00
20      0.05    0.00    0.00    1.00    1.00
20      0.1     0.00    0.00    1.00    1.00
20      0.2     0.00    -0.02   1.00    0.90
20      0.5     -0.10   -0.22   0.60    0.30
20      1       -0.26   -0.38   0.10    0.00
20      2       -0.36   -0.58   0.00    0.00
50      0       0.00    0.00    1.00    1.00
50      0.05    0.00    0.00    1.00    1.00
50      0.1     0.00    0.00    1.00    1.00
50      0.2     0.00    0.00    1.00    1.00
50      0.5     -0.02   -0.06   0.90    0.70
50      1       -0.10   -0.24   0.50    0.20
50      2       -0.24   -0.44   0.20    0.00
100     0       0.00    0.00    1.00    1.00
100     0.05    0.00    0.00    1.00    1.00
100     0.1     0.00    0.00    1.00    1.00
100     0.2     0.00    0.00    1.00    1.00
100     0.5     0.00    -0.06   1.00    0.70
100     1       -0.06   -0.18   0.70    0.30
100     2       -0.20   -0.40   0.20    0.00
200     0       0.00    0.00    1.00    1.00
200     0.05    0.00    0.00    1.00    1.00
200     0.1     0.00    0.00    1.00    1.00
200     0.2     0.00    0.00    1.00    1.00
200     0.5     0.00    0.00    1.00    1.00
200     1       0.00    -0.06   1.00    0.70
200     2       -0.06   -0.22   0.70    0.20
500     0       0.00    0.00    1.00    1.00
500     0.05    0.00    0.00    1.00    1.00
500     0.1     0.00    0.00    1.00    1.00
500     0.2     0.00    0.00    1.00    1.00
500     0.5     0.00    0.00    1.00    1.00
500     1       0.00    -0.04   1.00    0.80
500     2       -0.04   -0.10   0.80    0.50
1000    0       0.00    0.00    1.00    1.00
1000    0.05    0.00    0.00    1.00    1.00
1000    0.1     0.00    0.00    1.00    1.00
1000    0.2     0.00    0.00    1.00    1.00
1000    0.5     0.00    0.00    1.00    1.00
1000    1       0.00    -0.02   1.00    0.90
1000    2       -0.02   -0.10   0.90    0.50
