n	m	aics	bics	aicacc	bicacc
5	1	0.00	0.00	1.00	1.00
5	2	0.00	0.00	1.00	1.00
5	3	-0.07	-0.10	0.80	0.70
5	4	-0.20	-0.23	0.20	0.10
5	5	-0.32	-0.38	0.00	0.00
10	1	0.30	0.00	0.70	1.00
10	2	0.10	0.00	0.90	1.00
10	3	0.07	0.00	0.80	1.00
10	4	0.05	0.00	0.80	1.00
10	5	0.00	0.00	1.00	1.00
15	1	0.20	0.00	0.80	1.00
15	2	0.05	0.00	0.90	1.00
15	3	0.03	0.00	0.90	1.00
15	4	0.10	0.00	0.60	1.00
15	5	0.00	0.00	1.00	1.00
20	1	0.10	0.00	0.90	1.00
20	2	0.10	0.00	0.80	1.00
20	3	0.03	0.00	0.90	1.00
20	4	0.05	0.00	0.80	1.00
20	5	0.00	0.00	1.00	1.00
25	1	0.00	0.00	1.00	1.00
25	2	0.10	0.00	0.80	1.00
25	3	0.07	0.00	0.80	1.00
25	4	0.03	0.00	0.90	1.00
25	5	0.00	0.00	1.00	1.00
